month,order_id,order_no_uid,uid,nhom,tag,ly_do_vao_list,ngay_mua,ngay_kich_hoat,remaining,so_buoi_hien_tai,last_study,idle_ngay,sale_ban_don,team_sale_ban,sale_quan_ly,team_sale_quan_ly,teacher,gia_tri_don_cu,da_gia_han_M90,da_gia_han_vo_han,order_id_moi,ngay_gia_han,gia_tri_don_gia_han,nguon_gia_han,so_ngay_den_gia_han,run_date
2026-08,714559373267202,2,3034830727,Đến hạn,Normal,"1-20, idle<=90",2025-11-21,2025-11-21 18:42:45,8,6,2026-07-29 22:00:00,2.0,Le Vo Anh Thu,Ho Chi Minh,Lai Ngoc Thuy Linh,Ho Chi Minh,Dao Thi Hoang Yen,8015000.0,False,False,,,,,,2026-08-07
2026-08,699675308882178,1,3084270326,Đến hạn,Normal,"1-20, idle<=90",2025-08-29,2025-08-29 11:43:43,14,14,2026-08-01 15:30:00,-1.0,Nguyen Thi Thao Ngoc,Inhouse 1,Nguyen Thi Thao Ngoc,Inhouse 1,Thao Chi Advisor,18820000.0,False,False,,,,,,2026-08-07
2026-08,728378580148486,1,3126550426,Đến hạn,Normal,"1-20, idle<=90",2026-02-07,2026-02-11 14:40:20,5,3,2026-07-31 15:00:00,0.0,Le Hung Cuong,Inhouse 2,Kieu Lan Anh,Inhouse 2,Tran Thu Ha,9160000.0,False,False,,,,,,2026-08-07
2026-08,732933261226242,1,3134456866,Đến hạn,Normal,"1-20, idle<=90",2026-03-04,2026-03-06 11:26:02,12,11,2026-07-31 21:30:00,0.0,Pham Thi Thao,Inhouse 1,Pham Thi Thao,Inhouse 1,Ruby Advisor,9580000.0,False,False,,,,,,2026-08-07
2026-08,689266527942916,5,3138020834,Đến hạn,Normal,"1-20, idle<=90",2025-06-30,2025-07-01 16:00:13,16,16,2026-08-01 10:30:00,-1.0,Ho Thi Thanh,Inhouse 1,Ho Thi Thanh,Inhouse 1,Ms Laura,15400000.0,False,False,,,,,,2026-08-07
2026-08,737396132784390,2,3155060965,Đến hạn,Normal,"1-20, idle<=90",2026-03-30,2026-03-30 16:00:07,14,13,2026-07-28 21:00:00,3.0,Vu Thi Khanh Huyen,Inhouse 2,Vu Thi Khanh Huyen,Inhouse 2,Tran Thu Ha,4420000.0,False,False,,,,,,2026-08-07
2026-08,732102824431880,3,3175970640,Đến hạn,Normal,"1-20, idle<=90",2026-02-28,2026-02-28 21:07:54,17,15,2026-07-30 15:00:00,1.0,Le Kim Chi,Inhouse 1,Le Kim Chi,Inhouse 1,Ruby Advisor,23250000.0,False,False,,,,,,2026-08-07
2026-08,735928660242696,6,3176315119,Đến hạn,Normal,"1-20, idle<=90",2026-03-21,2026-03-24 21:14:23,20,19,2026-07-31 21:30:00,0.0,Kieu Thi Thu Quynh,Inhouse 1,Kieu Thi Thu Quynh,Inhouse 1,Ellie Advisor,8200000.0,False,False,,,,,,2026-08-07
2026-08,753477359307016,1,3178494774,Đến hạn,Normal,"1-20, idle<=90",2026-06-29,2026-07-01 12:41:07,19,18,2026-07-30 22:00:00,1.0,Pham Thi Thao,Inhouse 1,Pham Thi Thao,Inhouse 1,Thao Chi Advisor,4530000.0,False,False,,,,,,2026-08-07
2026-08,746230643273992,1,3179205818,Đến hạn,Normal,"1-20, idle<=90",2026-05-11,2026-05-23 11:33:26,9,9,2026-07-17 16:30:00,14.0,Lai Ngoc Thuy Linh,Ho Chi Minh,Lai Ngoc Thuy Linh,Ho Chi Minh,Dao Thi Hoang Yen,4680000.0,False,False,,,,,,2026-08-07
2026-08,726041681471746,1,3180100497,Đến hạn,Frozen,"1-20, idle<=90",2026-01-25,2026-01-26 11:10:22,15,15,2026-06-10 20:30:00,51.0,Nguyen Le Thanh Huyen,Ho Chi Minh,Nina,Inhouse 1,Dao Thi Hoang Yen,8908000.0,False,False,,,,,,2026-08-07
2026-08,731747846353154,1,3185916638,Đến hạn,Frozen,"1-20, idle<=90",2026-02-14,2026-02-26 18:40:57,16,16,2026-06-19 17:00:00,42.0,Vu Thi Tuyet Trinh,Inhouse 1,Vu Thi Tuyet Trinh,Inhouse 1,Thao Chi Advisor,8880000.0,False,False,,,,,,2026-08-07
2026-08,734541744724232,2,3189926256,Đến hạn,Normal,"1-20, idle<=90",2026-03-13,2026-03-17 09:02:57,12,12,2026-07-31 19:30:00,0.0,Nguyen Thi Trang,Inhouse 2,Nguyen Thi Trang,Inhouse 2,Tran Thu Ha,4210000.0,False,False,,,,,,2026-08-07
2026-08,695296557283584,4,3191187208,Đến hạn,Normal,"1-20, idle<=90",2025-07-31,2025-08-08 15:04:54,20,19,2026-07-30 11:00:00,1.0,Le Thi Lan Anh,Inhouse 1,Le Thi Lan Anh,Inhouse 1,Ellie Advisor,7757500.0,False,False,,,,,,2026-08-07
